Taxon,Prim48,Prim39,Prim49,Prim43,Prim54,Prim56,Prim50,Seawater.LK2,Prim52,Prim45,Seawater.LK4,Seawater.LK1,Seawater.LK3,Prim40,Prim47,Prim53,Prim42
p__Cyanobacteria,0.1172376874,0.3374131157,0.3868043845,0.2942115768,0.3403688069,0.3752825923,0.3815107717,0.1307526882,0.318336163,0.3257854515,0.1953534031,0.162295082,0.1432291667,0.3386067874,0.356462585,0.2117840956,0.3170498084
p__Bacteroidetes,0.2205567452,0.1579026896,0.1620994941,0.2179640719,0.1319706732,0.1510926903,0.1475320425,0.1079569892,0.142614601,0.1307670535,0.0916230366,0.1262295082,0.1009114583,0.1691758102,0.1488435374,0.1172229089,0.1554916986
p__Firmicutes,0.0107066381,0.0181323663,0.0124367622,0.0099800399,0.0097756054,0.0101733233,0.0155440415,0.064516129,0.0138653084,0.0101896405,0.0340314136,0.0475409836,0.0520833333,0.0079101812,0.0111564626,0.0403790688,0.0083014049
p__Actinobacteria,0.0326552463,0.0537926866,0.0467959528,0.0255489022,0.0491002,0.0350414469,0.0526315789,0.0210752688,0.0466893039,0.044155109,0.022578534,0.0344262295,0.0162760417,0.0502679255,0.0416326531,0.0381128966,0.0415070243
p__TM7,0.0069593148,0.0326382593,0.0193929174,0.0103792415,0.0184403466,0.0263752826,0.0212707936,0.0133333333,0.0181097906,0.0217945089,0.0163612565,0.0114754098,0.0169270833,0.0219443736,0.0234013605,0.0381128966,0.0255427842
p__Fusobacteria,0.0353319058,0.0004533092,0.0002107926,0.0339321357,0.0006665186,0.0003767898,0.0019089174,0,0,0.0002830456,0.0006544503,0,0,0.0012758357,0.0002721088,0,0
p__SAR406,0.0021413276,0.0137503778,0.0143338954,0.0027944112,0.0179960009,0.0067822155,0.0169075539,0.0202150538,0.0206564799,0.0155675064,0.019960733,0.0286885246,0.0188802083,0.0173513651,0.0171428571,0.0074165637,0.0191570881
p__Planctomycetes,0.0155246253,0.0084617709,0.0056913997,0.0123752495,0.0117751611,0.007535795,0.0092718844,0,0.0090548953,0.0096235494,0,0.0008196721,0.0006510417,0.0068895126,0.0078911565,0.0070045323,0.0121328225
p__Spirochaetes,0.0005353319,0.0108794198,0.0056913997,0.001996008,0.0031104199,0.004521477,0.0013635124,0,0.0019807583,0.0042456836,0,0,0,0.0012758357,0.0038095238,0.0067985167,0.0028735632
Other phyla,0.0449678801,0.0185856754,0.0155986509,0.0447105788,0.0135525439,0.0301431801,0.006817562,0.0077419355,0.0113186191,0.0110387772,0.002617801,0.0016393443,0.0026041667,0.007655014,0.0092517007,0.0263700041,0.0108556833
c__Gammaproteobacteria,0.0781584582,0.0459353279,0.0345699831,0.0463073852,0.0322150633,0.0354182366,0.0313607854,0.1638709677,0.0418788908,0.0345315596,0.1855366492,0.2057377049,0.1790364583,0.0400612401,0.0272108844,0.0515039143,0.0482120051
c__Deltaproteobacteria,0.0647751606,0.0229676639,0.0139123103,0.030738523,0.0877582759,0.0519969857,0.0106353968,0.007311828,0.0223542728,0.1092555902,0.0081806283,0.0172131148,0.0104166667,0.0176065323,0.0631292517,0.0473836012,0.0277777778
c__Betaproteobacteria,0.0176659529,0.0111816259,0.0059021922,0.0031936128,0.0126638525,0.0165787491,0.0089991819,0.0180645161,0.0053763441,0.0249080102,0.0039267016,0.006557377,0.0084635417,0.0130135239,0.0062585034,0.0403790688,0.0309706258
c__Epsilonproteobacteria,0,0,0.0227655987,0,0.0008886914,0.0007535795,0.0019089174,0,0.0011318619,0.0008491367,0,0,0,0.0005103343,0.0005442177,0.1812937783,0.0003192848
Other Proteobacteria,0.0074946467,0.0016621336,0.002529511,0.0067864271,0.0033325928,0.003014318,0.0016362149,0.0043010753,0.0016977929,0.0016982734,0.0019633508,0.0032786885,0.0013020833,0.0017861699,0.0010884354,0.0022661722,0.0028735632
f__Rhodobacteraceae,0.187366167,0.0451798126,0.0484822934,0.1109780439,0.0364363475,0.0395629239,0.044177802,0.0090322581,0.0506508206,0.0317011039,0.0179973822,0.0180327869,0.0143229167,0.0487369227,0.045170068,0.0333745365,0.0450191571
f__Pelagibacteraceae,0.0091006424,0.0897552131,0.0634485666,0.0243512974,0.0953121529,0.0730972118,0.096263976,0.3883870968,0.1335597057,0.0733088027,0.3498036649,0.2926229508,0.3984375,0.1025771881,0.083537415,0.0296662546,0.0881226054
Other Alphaproteobacteria,0.1493576017,0.1421879722,0.1450252951,0.1253493014,0.1377471673,0.1367746797,0.1516225798,0.0434408602,0.16270515,0.1545428814,0.0494109948,0.043442623,0.0364583333,0.1546312835,0.1570068027,0.1277297075,0.1666666667
